#gene_symbol	gene_symbol_long	identifier	primary
PIP2-12	aquaporin PIP2-12	glyma.Wm82.gnm2.ann1.Glyma.02G073700	1
GR-1b	Cytosolic glutathione reductase 1 gene b	glyma.Wm82.gnm2.ann1.Glyma.02G074200	1
PM31	seed maturation protein PM31	glyma.Wm82.gnm2.ann1.Glyma.02G076600	1
RSP13	ribosomal protein S13	glyma.Wm82.gnm2.ann1.Glyma.02G078000	1
ERF13	Ethylene-responsive factor gene 13	glyma.Wm82.gnm2.ann1.Glyma.02G080200	1
SWEET1	sugar efflux transporter SWEET1	glyma.Wm82.gnm2.ann1.Glyma.02G088400	1
MED37-1	Mediator Complex 37 gene 1	glyma.Wm82.gnm2.ann1.Glyma.02G093200	1
C2-6	C2 domain containing protein gene 6	glyma.Wm82.gnm2.ann1.Glyma.02G093500	1
G6PDH5	Glucose-6-phosphate dehydrogenase gene 5	glyma.Wm82.gnm2.ann1.Glyma.02G096800	1
ALMT4	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.02G097700	1
bZIP12	Basic leucine zipper transcription factor-like protein gene 12	glyma.Wm82.gnm2.ann1.Glyma.02G097900	1
TGA02	bZIP transcription factor 2	glyma.Wm82.gnm2.ann1.Glyma.02G097900	0
MED25-1	Mediator Complex 25 gene 1	glyma.Wm82.gnm2.ann1.Glyma.02G098300	1
MED25-3	Mediator Complex 25 gene 3	glyma.Wm82.gnm2.ann1.Glyma.02G098500	1
NAC008	NAC Transcription Factor gene 8	glyma.Wm82.gnm2.ann1.Glyma.02G100200	1
SIK1	stress-induced receptor-like kinase	glyma.Wm82.gnm2.ann1.Glyma.02G100300	1
BHLH30	Basic helix-loop-helix transcription factor 30	glyma.Wm82.gnm2.ann1.Glyma.02G100700	1
PPR12	Psudo-Response Regulator gene 12	glyma.Wm82.gnm2.ann1.Glyma.02G102000	1
ZOU-2	bHLH transcription factor ZOU-2	glyma.Wm82.gnm2.ann1.Glyma.02G103100	1
ZOU-1	bHLH transcription factor ZOU-1	glyma.Wm82.gnm2.ann1.Glyma.02G103200	1
CYP45	peptidyl-prolyl cis-trans isomerase CYP45	glyma.Wm82.gnm2.ann1.Glyma.02G105500	1
TCP2	Teosinte branched1 and cycloidea and proliferating cell factor family protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.02G105900	1
SLD1.2	delta8-sphingolipid desaturase 1	glyma.Wm82.gnm2.ann1.Glyma.02G106300	1
SLD2-1	delta(8)-fatty-acid desaturase 2 gene 1	glyma.Wm82.gnm2.ann1.Glyma.02G106300	0
NAC009	NAC Transcription Factor gene 9	glyma.Wm82.gnm2.ann1.Glyma.02G107000	1
PHR4	MYB-CC domain-containing transcription factor PHR4	glyma.Wm82.gnm2.ann1.Glyma.02G108500	1
CDF3b	Cycling Dof Factor 3 gene b	glyma.Wm82.gnm2.ann1.Glyma.02G108600	1
EXP4	expansin 4	glyma.Wm82.gnm2.ann1.Glyma.02G109100	1
NAC010	NAC Transcription Factor gene 10	glyma.Wm82.gnm2.ann1.Glyma.02G109800	1
NAC26	NAC domain protein	glyma.Wm82.gnm2.ann1.Glyma.02G109800	0
NAC29	NAC domain-containing protein	glyma.Wm82.gnm2.ann1.Glyma.02G109800	0
PHO1-H13	PHO1 family protein	glyma.Wm82.gnm2.ann1.Glyma.02G110600	1
WRKY11	WRKY Transcripiton Factor	glyma.Wm82.gnm2.ann1.Glyma.02G112100	1
EIF5A	eukaryotic translation initiation factor 5A	glyma.Wm82.gnm2.ann1.Glyma.02G112400	1
WRKY12	WRKY Transcripiton Factor	glyma.Wm82.gnm2.ann1.Glyma.02G115200	1
SGF14f	14-3-3 protein SGF14f	glyma.Wm82.gnm2.ann1.Glyma.02G115900	1
PPR13	Psudo-Response Regulator gene 13	glyma.Wm82.gnm2.ann1.Glyma.02G118600	1
CrRLk1L01	CrRLK1-Like Kinase 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.02G121900	1
CrRLk1L02	CrRLK1-Like Kinase 1 gene 2	glyma.Wm82.gnm2.ann1.Glyma.02G122000	1
GH3.1	auxin synthesis-related gene	glyma.Wm82.gnm2.ann1.Glyma.02G125600	1
bZIP13	Basic leucine zipper transcription factor-like protein gene 13	glyma.Wm82.gnm2.ann1.Glyma.02G126100	1
PSK-GAMMA1	phytosulfokine-gamma1	glyma.Wm82.gnm2.ann1.Glyma.02G126200	1
SAMDC	S-adenosylmethionine decarboxylase	glyma.Wm82.gnm2.ann1.Glyma.02G128000	1
PHO1-H14	PHO1 family protein	glyma.Wm82.gnm2.ann1.Glyma.02G130200	1
CHS10	chalcone synthase 10	glyma.Wm82.gnm2.ann1.Glyma.02G130400	1
CHS6c	Chalcone and stilbene synthases, C-terminal domain; Chalcone and stilbene synthases, N-terminal domain 6 gene c	glyma.Wm82.gnm2.ann1.Glyma.02G130400	0
PEPC2	Phosphoenolpyruvate carboxylase gene 2	glyma.Wm82.gnm2.ann1.Glyma.02G130700	1
ABF1	ABF1 bZIP transcription factor	glyma.Wm82.gnm2.ann1.Glyma.02G131700	1
BZIP1	bZIP transcription factor 1	glyma.Wm82.gnm2.ann1.Glyma.02G131700	0
bZIP14	Basic leucine zipper transcription factor-like protein gene 14	glyma.Wm82.gnm2.ann1.Glyma.02G131700	0
NIR	nitrate reductase	glyma.Wm82.gnm2.ann1.Glyma.02G132100	1
NIR1-1	nitrate reductase 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.02G132100	0
ERF14	Ethylene-responsive factor gene 14	glyma.Wm82.gnm2.ann1.Glyma.02G132500	1
PPR14	Psudo-Response Regulator gene 14	glyma.Wm82.gnm2.ann1.Glyma.02G133100	1
CYP17	peptidyl-prolyl cis-trans isomerase CYP17	glyma.Wm82.gnm2.ann1.Glyma.02G134800	1
C2-7	C2 domain containing protein gene 7	glyma.Wm82.gnm2.ann1.Glyma.02G137500	1
C2-8	C2 domain containing protein gene 8	glyma.Wm82.gnm2.ann1.Glyma.02G137700	1
IQD6	protein IQ-DOMAIN 6	glyma.Wm82.gnm2.ann1.Glyma.02G138000	1
ACPD	stearoyl-acyl carrier protein desaturase	glyma.Wm82.gnm2.ann1.Glyma.02G138100	1
ACPD-1	stearoyl-acyl carrier protein desaturase gene 1	glyma.Wm82.gnm2.ann1.Glyma.02G138100	0
FAB2		glyma.Wm82.gnm2.ann1.Glyma.02G138100	0
SACPD	stearoyl-acyl carrier protein desaturase	glyma.Wm82.gnm2.ann1.Glyma.02G138100	0
SAD1	stearoyl-acyl carrier protein desaturase	glyma.Wm82.gnm2.ann1.Glyma.02G138100	0
MAPK2	mitogen-activated protein kinase 2	glyma.Wm82.gnm2.ann1.Glyma.02G138800	1
NIP7-1	aquaporin NIP7-1	glyma.Wm82.gnm2.ann1.Glyma.02G140500	1
GR	glutathione reductase	glyma.Wm82.gnm2.ann1.Glyma.02G141800	1
GR-2b	Chloroplastic glutathione reductase 2 gene b	glyma.Wm82.gnm2.ann1.Glyma.02G141800	0
GSH1	gamma glutamylcysteine synthestase	glyma.Wm82.gnm2.ann1.Glyma.02G142000	1
IAA6	Indole-3-Acetic Acid Responsive Gene 6	glyma.Wm82.gnm2.ann1.Glyma.02G142400	1
IAA7	Indole-3-Acetic Acid Responsive Gene 7	glyma.Wm82.gnm2.ann1.Glyma.02G142500	1
IAA8	Indole-3-Acetic Acid Responsive Gene 8	glyma.Wm82.gnm2.ann1.Glyma.02G142600	1
AMT4.5	ammonium transporter AMT4.5	glyma.Wm82.gnm2.ann1.Glyma.02G143500	1
PPR15	Psudo-Response Regulator gene 15	glyma.Wm82.gnm2.ann1.Glyma.02G144100	1
MCCA	3-methylcrotonyl-CoA carboxylase 1	glyma.Wm82.gnm2.ann1.Glyma.02G145300	1
SBP2	sucrose-binding protein 2	glyma.Wm82.gnm2.ann1.Glyma.02G145700	1
ALMT5	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.02G147900	1
TIR1A	protein TRANSPORT INHIBITOR RESPONSE 1A	glyma.Wm82.gnm2.ann1.Glyma.02G152800	1
GSTF1	glutathione S-transferase F1	glyma.Wm82.gnm2.ann1.Glyma.02G154300	1
GSTF2	glutathione S-transferase F2	glyma.Wm82.gnm2.ann1.Glyma.02G154400	1
NTF2B-5	nucleus transporter 2B gene 5	glyma.Wm82.gnm2.ann1.Glyma.02G156200	1
NTF2B-6	nucleus transporter 2B gene 6	glyma.Wm82.gnm2.ann1.Glyma.02G156200	0
FLD	Flowering locus D	glyma.Wm82.gnm2.ann1.Glyma.02G159100	1
PPR16	Psudo-Response Regulator gene 16	glyma.Wm82.gnm2.ann1.Glyma.02G160400	1
bZIP15	Basic leucine zipper transcription factor-like protein gene 15	glyma.Wm82.gnm2.ann1.Glyma.02G161100	1
PPR17	Psudo-Response Regulator gene 17	glyma.Wm82.gnm2.ann1.Glyma.02G164800	1
SDP6	glycerol-3-phosphate dehydrogenase SDP6, mitochondrial	glyma.Wm82.gnm2.ann1.Glyma.02G165500	1
LBD6	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.02G166400	1
VTE2-2	homogentisate phytyltransferase VTE2-2	glyma.Wm82.gnm2.ann1.Glyma.02G168000	1
POD	peroxidase	glyma.Wm82.gnm2.ann1.Glyma.02G171600	1
PPR18	Psudo-Response Regulator gene 18	glyma.Wm82.gnm2.ann1.Glyma.02G174500	1
C2-9	C2 domain containing protein gene 9	glyma.Wm82.gnm2.ann1.Glyma.02G176700	1
TGA03	bZIP transcription factor 3	glyma.Wm82.gnm2.ann1.Glyma.02G176800	1
SPL9A	squamosa promoter-binding-like protein 9a	glyma.Wm82.gnm2.ann1.Glyma.02G177500	1
PHR5	MYB-CC domain-containing transcription factor PHR5	glyma.Wm82.gnm2.ann1.Glyma.02G177800	1
PHR6	MYB-CC domain-containing transcription factor PHR6	glyma.Wm82.gnm2.ann1.Glyma.02G178100	1
MATE13	citrate-proton symporter	glyma.Wm82.gnm2.ann1.Glyma.02G181800	1
GSTU9	glutathione S-transferase GST 19	glyma.Wm82.gnm2.ann1.Glyma.02G187200	1
SDP1-1	triacylglycerol lipase SDP1	glyma.Wm82.gnm2.ann1.Glyma.02G190000	1
NF-YA01	nuclear transcription factor Y subunit A-1	glyma.Wm82.gnm2.ann1.Glyma.02G195000	1
PUB8	E3 ubiquitin-protein ligase PUB8	glyma.Wm82.gnm2.ann1.Glyma.02G195900	1
COBL2	Regulates cell wall expansion and cellulose depostion	glyma.Wm82.gnm2.ann1.Glyma.02G196100	1
LEA2-5	late embryogenesis abundant 2 gene 5	glyma.Wm82.gnm2.ann1.Glyma.02G197600	1
LEA2-6	late embryogenesis abundant 2 gene 6	glyma.Wm82.gnm2.ann1.Glyma.02G197800	1
SPY1	probable UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SPINDLY-like	glyma.Wm82.gnm2.ann1.Glyma.02G201300	1
PPR19	Psudo-Response Regulator gene 19	glyma.Wm82.gnm2.ann1.Glyma.02G201800	1
ALDH11A1	aldehyde dehydrogenase 11A1	glyma.Wm82.gnm2.ann1.Glyma.02G202500	1
FAD6.1	omega-6 fatty acid desaturase, chloroplastic	glyma.Wm82.gnm2.ann1.Glyma.02G203300	1
PPR20	Psudo-Response Regulator gene 20	glyma.Wm82.gnm2.ann1.Glyma.02G205900	1
SGF14G	14-3-3 protein SGF14g	glyma.Wm82.gnm2.ann1.Glyma.02G208700	1
APX-4a	Ascorbate peroxidase 4 gene a	glyma.Wm82.gnm2.ann1.Glyma.02G209000	1
Raf6-4	Raf6 proto-oncogene serine/threonine protein kinase gene 4	glyma.Wm82.gnm2.ann1.Glyma.02G215300	1
SMEP1	metalloproteinase	glyma.Wm82.gnm2.ann1.Glyma.02G215700	1
PPR21	Psudo-Response Regulator gene 21	glyma.Wm82.gnm2.ann1.Glyma.02G217200	1
IAA9	Indole-3-Acetic Acid Responsive Gene 9	glyma.Wm82.gnm2.ann1.Glyma.02G218100	1
GTR1	glutamyl-tRNA reductase 1	glyma.Wm82.gnm2.ann1.Glyma.02G218300	1
GLYII-1	hydroxyacylglutathione hydrolase cytoplasmic-like	glyma.Wm82.gnm2.ann1.Glyma.02G220100	1
C2-10	C2 domain containing protein gene 10	glyma.Wm82.gnm2.ann1.Glyma.02G220300	1
NAC012	NAC Transcription Factor gene 12	glyma.Wm82.gnm2.ann1.Glyma.02G222300	1
NAC22	NAC domain protein	glyma.Wm82.gnm2.ann1.Glyma.02G222300	0
Lac6	Laccase 6	glyma.Wm82.gnm2.ann1.Glyma.02G224800	1
C2-11	C2 domain containing protein gene 11	glyma.Wm82.gnm2.ann1.Glyma.02G226800	1
FAD3b	omega-3-fatty acid desaturase 3 gene 2	glyma.Wm82.gnm2.ann1.Glyma.02G227200	1
PPR22	Psudo-Response Regulator gene 22	glyma.Wm82.gnm2.ann1.Glyma.02G227300	1
Lac7	Laccase 7	glyma.Wm82.gnm2.ann1.Glyma.02G231600	1
LBD7.2	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.02G234600	1
WNK12	with no lysine kinase 12	glyma.Wm82.gnm2.ann1.Glyma.02G235700	1
bZIP17	Basic leucine zipper transcription factor-like protein gene 17	glyma.Wm82.gnm2.ann1.Glyma.02G236200	1
C4H	trans-cinnamate 4-monooxygenase	glyma.Wm82.gnm2.ann1.Glyma.02G236500	1
ERF15	Ethylene-responsive factor gene 15	glyma.Wm82.gnm2.ann1.Glyma.02G236800	1
LEA2-7	late embryogenesis abundant 2 gene 7	glyma.Wm82.gnm2.ann1.Glyma.02G239100	1
ARF8A	auxin response factor 8a	glyma.Wm82.gnm2.ann1.Glyma.02G239600	1
NAC013	NAC Transcription Factor gene 13	glyma.Wm82.gnm2.ann1.Glyma.02G240500	1
GS	glutamine synthetase	glyma.Wm82.gnm2.ann1.Glyma.02G244000	1
GS-gamma2-a	Gamma glutamine synthase 2 gene	glyma.Wm82.gnm2.ann1.Glyma.02G244000	0
GS1GAMMA2	glutamine synthetase cytosolic isozyme 2	glyma.Wm82.gnm2.ann1.Glyma.02G244000	0
GASA1	gibberellin-regulated protein 1	glyma.Wm82.gnm2.ann1.Glyma.02G245600	1
NIP4-1	aquaporin NIP4-1	glyma.Wm82.gnm2.ann1.Glyma.02G246700	1
C2-12	C2 domain containing protein gene 12	glyma.Wm82.gnm2.ann1.Glyma.02G247900	1
C2-13	C2 domain containing protein gene 13	glyma.Wm82.gnm2.ann1.Glyma.02G248000	1
C2-14	C2 domain containing protein gene 14	glyma.Wm82.gnm2.ann1.Glyma.02G248100	1
RCAALPHA	ribulose bisphosphate carboxylase/oxygenase activase 1, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.02G249600	1
LBD8	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.02G249700	1
ALDH18B2	delta-1-pyrroline-5-carboxylate synthase	glyma.Wm82.gnm2.ann1.Glyma.02G251100	1
TOPP2	TOPP-type protein phosphatase gene 2	glyma.Wm82.gnm2.ann1.Glyma.02G251600	1
MYB83	MYB transcription factor MYB83	glyma.Wm82.gnm2.ann1.Glyma.02G254200	1
PIP1-10	aquaporin PIP1-10	glyma.Wm82.gnm2.ann1.Glyma.02G255000	1
HS1pro1	nematode resistance HS1pro1 protein	glyma.Wm82.gnm2.ann1.Glyma.02G255400	1
LAX2	auxin transporter-like protein 2	glyma.Wm82.gnm2.ann1.Glyma.02G255800	1
C2-15	C2 domain containing protein gene 15	glyma.Wm82.gnm2.ann1.Glyma.02G257000	1
C2-16	C2 domain containing protein gene 16	glyma.Wm82.gnm2.ann1.Glyma.02G257100	1
C2-17	C2 domain containing protein gene 17	glyma.Wm82.gnm2.ann1.Glyma.02G257200	1
SNAP02	soluble NSF attachment protein SNAP02	glyma.Wm82.gnm2.ann1.Glyma.02G260400	1
Lac8	Laccase 8	glyma.Wm82.gnm2.ann1.Glyma.02G261600	1
AP2-8	dehydration-responsive element-binding protein 2C-like	glyma.Wm82.gnm2.ann1.Glyma.02G261700	1
LBD9	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.02G262400	1
FER2-1	ferritin	glyma.Wm82.gnm2.ann1.Glyma.02G262500	1
LBD10	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.02G264500	1
SGR	AP2-domain transcription factor SGR	glyma.Wm82.gnm2.ann1.Glyma.02G264700	1
NGM-16	nodulin-16	glyma.Wm82.gnm2.ann1.Glyma.02G265200	1
ERF16	Ethylene-responsive factor gene 16	glyma.Wm82.gnm2.ann1.Glyma.02G267400	1
HS1	calcineurin-like metallophosphoesterase transmembrane protein	glyma.Wm82.gnm2.ann1.Glyma.02G269500	1
RJ1	LysM-type receptor kinase NFR1alpha	glyma.Wm82.gnm2.ann1.Glyma.02G270800	1
F-box protein2	F-box protein 2	glyma.Wm82.gnm2.ann1.Glyma.02G273700	1
LEA2-8	late embryogenesis abundant 2 gene 8	glyma.Wm82.gnm2.ann1.Glyma.02G274400	1
AGO4	Argonaut 4 ranscription factor	glyma.Wm82.gnm2.ann1.Glyma.02G274900	1
ELF1B	elongation factor 1-beta	glyma.Wm82.gnm2.ann1.Glyma.02G276600	1
LEA2-9	late embryogenesis abundant 2 gene 9	glyma.Wm82.gnm2.ann1.Glyma.02G277300	1
C2-18	C2 domain containing protein gene 18	glyma.Wm82.gnm2.ann1.Glyma.02G279900	1
NAC154	NAC Transcription Factor gene 154	glyma.Wm82.gnm2.ann1.Glyma.02G284300	1
NAC42-1	transcription factor JUNGBRUNNEN 1	glyma.Wm82.gnm2.ann1.Glyma.02G284300	0
CHL	chloroplastic lipocalin	glyma.Wm82.gnm2.ann1.Glyma.02G289400	1
ERF17	Ethylene-responsive factor gene 17	glyma.Wm82.gnm2.ann1.Glyma.02G294100	1
C2-19	C2 domain containing protein gene 19	glyma.Wm82.gnm2.ann1.Glyma.02G296900	1
WRKY18	WRKY Transcripiton Factor	glyma.Wm82.gnm2.ann1.Glyma.02G297400	1
FBA	fructose-bisphosphate aldolase	glyma.Wm82.gnm2.ann1.Glyma.02G303000	1
LEA2-10	late embryogenesis abundant 2 gene 10	glyma.Wm82.gnm2.ann1.Glyma.02G303100	1
NF-YA02	nuclear transcription factor Y subunit A-2	glyma.Wm82.gnm2.ann1.Glyma.02G303800	1
CHR6	chalcone reductase CHR6	glyma.Wm82.gnm2.ann1.Glyma.02G307300	1
PAL3.1	phenylalanine ammonia-lyase 3.1	glyma.Wm82.gnm2.ann1.Glyma.02G309300	1
LEA2-11	late embryogenesis abundant 2 gene 11	glyma.Wm82.gnm2.ann1.Glyma.03G000800	1
B15-3-5	syringolide-induced protein B15-3-5	glyma.Wm82.gnm2.ann1.Glyma.03G001500	1
WRKY20	WRKY Transcripiton Factor	glyma.Wm82.gnm2.ann1.Glyma.03G002300	1
bZIP18	Basic leucine zipper transcription factor-like protein gene 18	glyma.Wm82.gnm2.ann1.Glyma.03G003400	1
PHR7	MYB-CC domain-containing transcription factor PHR7	glyma.Wm82.gnm2.ann1.Glyma.03G003500	1
SCAM-1	calmodulin	glyma.Wm82.gnm2.ann1.Glyma.03G004100	1
MED12-1	Mediator Complex 12 gene 1	glyma.Wm82.gnm2.ann1.Glyma.03G009200	1
C2-20	C2 domain containing protein gene 20	glyma.Wm82.gnm2.ann1.Glyma.03G012600	1
C2-21	C2 domain containing protein gene 21	glyma.Wm82.gnm2.ann1.Glyma.03G015400	1
C2-22	C2 domain containing protein gene 22	glyma.Wm82.gnm2.ann1.Glyma.03G015800	1
C2-23	C2 domain containing protein gene 23	glyma.Wm82.gnm2.ann1.Glyma.03G016000	1
C2-24	C2 domain containing protein gene 24	glyma.Wm82.gnm2.ann1.Glyma.03G016100	1
C2-25	C2 domain containing protein gene 25	glyma.Wm82.gnm2.ann1.Glyma.03G016200	1
C2-26	C2 domain containing protein gene 26	glyma.Wm82.gnm2.ann1.Glyma.03G016300	1
C2-27	C2 domain containing protein gene 27	glyma.Wm82.gnm2.ann1.Glyma.03G016400	1
TCP3	Teosinte branched1 and cycloidea and proliferating cell factor family protein gene 3	glyma.Wm82.gnm2.ann1.Glyma.03G018800	1
GA20OX1	gibberellin 20 oxidase 1	glyma.Wm82.gnm2.ann1.Glyma.03G019800	1
C2-28	C2 domain containing protein gene 28	glyma.Wm82.gnm2.ann1.Glyma.03G020800	1
ZPR1C	protein LITTLE ZIPPER 2-like	glyma.Wm82.gnm2.ann1.Glyma.03G022200	1
LBD12	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.03G023000	1
LBD13	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.03G023100	1
AG1	arginase	glyma.Wm82.gnm2.ann1.Glyma.03G028000	1
CYP83E8	cytochrome P450 83B1-like	glyma.Wm82.gnm2.ann1.Glyma.03G029900	1
PT03	prenyltransferase family protein PT03	glyma.Wm82.gnm2.ann1.Glyma.03G033100	1
EXPB3	putative expansin-B2-like	glyma.Wm82.gnm2.ann1.Glyma.03G033800	1
WNK5	with no lysine kinase 5	glyma.Wm82.gnm2.ann1.Glyma.03G036500	1
RPSHC18-NBL1	NB-LRR type disease resistance protein	glyma.Wm82.gnm2.ann1.Glyma.03G037100	1
RPSHC18-NBL2	NB-LRR type disease resistance protein	glyma.Wm82.gnm2.ann1.Glyma.03G037300	1
APX	Ascorbate Peroxidase	glyma.Wm82.gnm2.ann1.Glyma.03G038700	1
POD1	Peroxidase 1	glyma.Wm82.gnm2.ann1.Glyma.03G038700	0
PGM1	phosphoglucomutase 1 gene	glyma.Wm82.gnm2.ann1.Glyma.03G042000	1
Sle2	Group-1 late embryogenesis abundant protein 2 gene 	glyma.Wm82.gnm2.ann1.Glyma.03G056000	1
FAD8-2	omega-3 fatty acid desaturase, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.03G056700	1
FAD8.2	omega-3 fatty acid desaturase, chloroplastic	glyma.Wm82.gnm2.ann1.Glyma.03G056700	0
LAX3	auxin transporter-like protein 3	glyma.Wm82.gnm2.ann1.Glyma.03G063600	1
LAX4	auxin transporter-like protein 4	glyma.Wm82.gnm2.ann1.Glyma.03G063900	1
Bic-c2	Bicaudal- C gene 2	glyma.Wm82.gnm2.ann1.Glyma.03G064800	1
SWEET50	sugar efflux transporter SWEET50	glyma.Wm82.gnm2.ann1.Glyma.03G065500	1
RCA03	ribulose bisphosphate carboxylase/oxygenase activase 1, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.03G068100	1
ALDH18B3	delta-1-pyrroline-5-carboxylate synthase	glyma.Wm82.gnm2.ann1.Glyma.03G069400	1
ICS1	isochorismate synthase, chloroplastic	glyma.Wm82.gnm2.ann1.Glyma.03G070600	1
TUBB2	tubulin beta-2	glyma.Wm82.gnm2.ann1.Glyma.03G074400	1
Lac9	Laccase 9	glyma.Wm82.gnm2.ann1.Glyma.03G077900	1
MYB51	MYB transcription factor MYB51	glyma.Wm82.gnm2.ann1.Glyma.03G078000	1
PIP1-1	aquaporin PIP1-1	glyma.Wm82.gnm2.ann1.Glyma.03G078700	1
bZIP20	Basic leucine zipper transcription factor-like protein gene 20	glyma.Wm82.gnm2.ann1.Glyma.03G081700	1
PHANb	phantastica transcription factor b	glyma.Wm82.gnm2.ann1.Glyma.03G081900	1
RIN4a	RIN4a protein	glyma.Wm82.gnm2.ann1.Glyma.03G084000	1
AIR12	plasma membrane ascorbate-reducible b-type cytochrome family protein	glyma.Wm82.gnm2.ann1.Glyma.03G088900	1
PPR23	Psudo-Response Regulator gene 23	glyma.Wm82.gnm2.ann1.Glyma.03G093000	1
LHP1-2	chromo domain-containing protein LHP1-2	glyma.Wm82.gnm2.ann1.Glyma.03G094200	1
ERF18	Ethylene-responsive factor gene 18	glyma.Wm82.gnm2.ann1.Glyma.03G094700	1
PPR24	Psudo-Response Regulator gene 24	glyma.Wm82.gnm2.ann1.Glyma.03G108500	1
WRKY22	WRKY Transcripiton Factor	glyma.Wm82.gnm2.ann1.Glyma.03G109100	1
ERF19	Ethylene-responsive factor gene 19	glyma.Wm82.gnm2.ann1.Glyma.03G111700	1
ERF20	Ethylene-responsive factor gene 20	glyma.Wm82.gnm2.ann1.Glyma.03G112000	1
ERF21	Ethylene-responsive factor gene 21	glyma.Wm82.gnm2.ann1.Glyma.03G112400	1
ERF22	Ethylene-responsive factor gene 22	glyma.Wm82.gnm2.ann1.Glyma.03G112700	1
ERF23	Ethylene-responsive factor gene 23	glyma.Wm82.gnm2.ann1.Glyma.03G112800	1
RPSQ	LRR receptor kinase-like protein	glyma.Wm82.gnm2.ann1.Glyma.03G117600	1
SIP2-1	aquaporin SIP2-1	glyma.Wm82.gnm2.ann1.Glyma.03G119300	1
CYP94D24	cytochrome P450 94A1	glyma.Wm82.gnm2.ann1.Glyma.03G122300	1
CYCB1;1	G2/mitotic-specific cyclin S13-6	glyma.Wm82.gnm2.ann1.Glyma.03G123600	1
TUBB3	beta-tubulin	glyma.Wm82.gnm2.ann1.Glyma.03G124400	1
PIN1d	PIN-formed 1 gene d	glyma.Wm82.gnm2.ann1.Glyma.03G126000	1
bZIP22	Basic leucine zipper transcription factor-like protein gene 22	glyma.Wm82.gnm2.ann1.Glyma.03G127600	1
TGA04	bZIP transcription factor 4	glyma.Wm82.gnm2.ann1.Glyma.03G127600	0
bZIP23	Basic leucine zipper transcription factor-like protein gene 23	glyma.Wm82.gnm2.ann1.Glyma.03G128200	1
TGA05	bZIP transcription factor 5	glyma.Wm82.gnm2.ann1.Glyma.03G128200	0
BHLH320	bHLH transcription factor bHLH320	glyma.Wm82.gnm2.ann1.Glyma.03G130400	1
BHLH300	bHLH transcription factor bHLH300	glyma.Wm82.gnm2.ann1.Glyma.03G130600	1
SDP1-4	triacylglycerol lipase SDP1	glyma.Wm82.gnm2.ann1.Glyma.03G130900	1
GASA3	gibberellin-regulated protein 3	glyma.Wm82.gnm2.ann1.Glyma.03G131700	1
CKX1	cytokinin dehydrogenase 1-like	glyma.Wm82.gnm2.ann1.Glyma.03G133300	1
HSF-06	heat stress transcription factor 6	glyma.Wm82.gnm2.ann1.Glyma.03G135800	1
CHLH	magnesium chelatase subunit	glyma.Wm82.gnm2.ann1.Glyma.03G137000	1
RS	raffinose synthase	glyma.Wm82.gnm2.ann1.Glyma.03G137900	1
CYP93A3	cytochrome P450 93A3	glyma.Wm82.gnm2.ann1.Glyma.03G142100	1
C2-29	C2 domain containing protein gene 29	glyma.Wm82.gnm2.ann1.Glyma.03G142500	1
SPL9C	squamosa promoter-binding-like protein 9c	glyma.Wm82.gnm2.ann1.Glyma.03G143100	1
PHR8	MYB-CC domain-containing transcription factor PHR8	glyma.Wm82.gnm2.ann1.Glyma.03G143600	1
CYP93A1	3,9-dihydroxypterocarpan 6A-monooxygenase	glyma.Wm82.gnm2.ann1.Glyma.03G143700	1
PM9	late embryogenesis abundant group 4 protein PM9	glyma.Wm82.gnm2.ann1.Glyma.03G144400	1
PTS1	pterocarpan synthase	glyma.Wm82.gnm2.ann1.Glyma.03G147700	1
PTS-L1	pterocarpan synthase-like	glyma.Wm82.gnm2.ann1.Glyma.03G147800	1
PTS-L4	pterocarpan synthase-like	glyma.Wm82.gnm2.ann1.Glyma.03G147900	1
GID1B	GID Complex Subunit	glyma.Wm82.gnm2.ann1.Glyma.03G148300	1
GST1	Glutathione-S Transferase 1	glyma.Wm82.gnm2.ann1.Glyma.03G150300	1
MED5-1	Mediator Complex 5 gene 1	glyma.Wm82.gnm2.ann1.Glyma.03G151100	1
GIP1	putative aspartic proteinase GIP1	glyma.Wm82.gnm2.ann1.Glyma.03G151900	1
ALMT6	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.03G152700	1
